Time (s),Altitude (m),Radius (m),Radial Velocity (m/s),True Anomoly (rad),Angular Velocity (rad/s)
32624000.0,287632.54189526103,6665732.541895261,-0.04566438346225816,37089.381037483145,0.0011601036907971831
32626000.0,287540.3264803896,6665640.32648039,-0.04635512486110506,37091.70126888918,0.0011601277967271477
32628000.0,287448.067869151,6665548.067869151,-0.04585024087026743,37094.021548646124,0.0011601518911872632
32630000.0,287356.069769199,6665456.069769199,-0.046383063426015995,37096.34187634305,0.0011601758685042302
32632000.0,287262.71101969853,6665362.7110196985,-0.04667200279623199,37098.66225247456,0.0011602002927015508
32634000.0,287169.9164903192,6665269.916490319,-0.046287491727178456,37100.98267731554,0.0011602244934565866
32636000.0,287076.5759762004,6665176.5759762,-0.047099926017968155,37103.303150568594,0.0011602488572686259
32638000.0,286982.3357414482,6665082.335741448,-0.04687771893193323,37105.623672969596,0.0011602735068655902
32640000.0,286888.8377170926,6664988.837717093,-0.04691270332765085,37107.944244349565,0.0011602978705397143
32642000.0,286794.0754289171,6664894.075428917,-0.04765940627581389,37110.26486477772,0.0011603226467319467
32644000.0,286699.20519076753,6664799.2051907675,-0.04714193916893802,37112.58553493092,0.0011603474324256107
32646000.0,286604.6577752838,6664704.657775284,-0.04766726042905178,37114.90625438008,0.0011603720776760485
32648000.0,286508.619141317,6664608.619141317,-0.04805666517323814,37117.22702362813,0.0011603972138077762
32650000.0,286413.1803164473,6664513.180316447,-0.04753477954079783,37119.54784302913,0.0011604221124011304
32652000.0,286317.3023852147,6664417.302385215,-0.04846326215759255,37121.86871216561,0.0011604471352828366
32654000.0,286220.23275310174,6664320.232753102,-0.04828855895406519,37124.18963187373,0.0011604725440533716
32656000.0,286124.08571373485,6664224.085713735,-0.0481748618886007,37126.51060204231,0.0011604976023033124
32658000.0,286026.6839722181,6664126.683972218,-0.04910016721048332,37128.831622599326,0.0011605230682132826
32660000.0,285928.92776066996,6664028.92776067,-0.048516633173532664,37131.152694377706,0.0011605486277521952
32662000.0,285831.7587760994,6663931.758776099,-0.04897723049237747,37133.47381690752,0.0011605739529902159
32664000.0,285732.93333031423,6663832.933330314,-0.04954011409661358,37135.79499061966,0.001160599825096343
32666000.0,285634.5557946004,6663734.5557946,-0.04893403592322954,37138.11621604091,0.0011606255107006935
32668000.0,285536.01071988046,6663636.01071988,-0.04978832375115179,37140.437492674086,0.0011606512242535777
32670000.0,285436.0559238661,6663536.055923866,-0.04984926606314872,37142.758821296295,0.0011606773979808839
32672000.0,285336.9379435377,6663436.937943538,-0.049535465656336125,37145.08020199169,0.0011607032490912712
32674000.0,285236.86130431946,6663336.861304319,-0.050520194851249096,37147.401634525566,0.0011607294030316468
32676000.0,285136.0045529492,6663236.004552949,-0.05010490357814037,37149.72311978629,0.001160755797054524
